cve,ubicageo_c,orgapoli_e,sexostt,sexos1,sexos2,,,,orgapoli_e,(Varios elementos),,,
5,5034,5,0,0,0,,,,,,,,
5,5034,6,NA,NA,NA,,,,,,,,
5,5034,7,0,0,0,,,,,,,,
5,5034,8,1,0,1,,,,,,,,
5,5034,9,1,1,0,,,,,,,,
5,5035,1,565,395,170,,,,,,,,
5,5035,2,325,249,76,,,,,,,,
5,5035,3,0,0,0,,,,,,,,
5,5035,4,0,0,0,,,,,,,,
5,5035,5,0,0,0,,,,,,,,
5,5035,6,NA,NA,NA,,,,,,,,
5,5035,7,10,9,1,,,,,,,,
5,5035,8,81,28,53,,,,,,,,
5,5035,9,0,0,0,,,,,,,,
5,5036,1,14,14,0,,,,,,,,
5,5036,2,0,0,0,,,,,,,,
5,5036,3,0,0,0,,,,,,,,
5,5036,4,0,0,0,,,,,,,,
5,5036,5,0,0,0,,,,,,,,
5,5036,6,NA,NA,NA,,,,,,,,
5,5036,7,2,2,0,,,,,,,,
5,5036,8,1,0,1,,,,,,,,
5,5036,9,0,0,0,,,,,,,,
5,5037,1,5,3,2,,,,,,,,
5,5037,2,0,0,0,,,,,,,,
5,5037,3,0,0,0,,,,,,,,
5,5037,4,0,0,0,,,,,,,,
